trig,re,eu,tp,slm,tr_n,tr_wr,tr_total,tr_tpd,tr_worst,te_n,te_wr,te_total,te_tpd,te_worst,both_pos
15min,8,14,2.0,mid,95,0.4421052631578947,11.509269025827479,0.9134615384615384,-1.0,41,0.4146341463414634,6.632680856421382,0.8367346938775511,-1.0,True
15min,8,14,2.0,far,95,0.4842105263157895,0.7938732419336969,0.9134615384615384,-1.0,41,0.5609756097560976,4.921286491331385,0.8367346938775511,-1.0,True
30min,6,10,1.0,mid,77,0.4025974025974026,-4.858284125612106,0.7403846153846154,-1.0,39,0.48717948717948717,7.700614734333295,0.7959183673469388,-1.0,False
30min,6,10,1.0,far,77,0.5844155844155844,5.425674298405038,0.7403846153846154,-1.0,39,0.5897435897435898,5.163184871644897,0.7959183673469388,-1.0,True
30min,6,10,1.25,mid,77,0.37662337662337664,-1.2699863140520886,0.7403846153846154,-1.0,39,0.48717948717948717,12.988513044501737,0.7959183673469388,-1.0,False
30min,6,10,1.25,far,77,0.5584415584415584,9.582277007619602,0.7403846153846154,-1.0,39,0.5897435897435898,8.777498739337092,0.7959183673469388,-1.0,True
30min,6,10,1.5,mid,77,0.35064935064935066,-0.8284822235372982,0.7403846153846154,-1.0,39,0.4358974358974359,8.402626285663668,0.7959183673469388,-1.0,False
30min,6,10,1.5,far,77,0.5194805194805194,9.285910524660334,0.7403846153846154,-1.0,39,0.5128205128205128,4.368602893306675,0.7959183673469388,-1.0,True
30min,6,10,2.0,mid,77,0.33766233766233766,-1.1268014322611322,0.7403846153846154,-1.0,39,0.4358974358974359,12.114282718915547,0.7959183673469388,-1.0,False
30min,6,10,2.0,far,77,0.4935064935064935,8.968774328036012,0.7403846153846154,-1.0,39,0.48717948717948717,4.35100433001213,0.7959183673469388,-1.0,True
30min,6,12,1.0,mid,90,0.4111111111111111,-0.978691559808774,0.8653846153846154,-1.0,45,0.4888888888888889,8.944308707737378,0.9183673469387755,-1.0,False
30min,6,12,1.0,far,90,0.5777777777777777,6.338622489881665,0.8653846153846154,-1.0,45,0.6,6.628908674515392,0.9183673469387755,-1.0,True
30min,6,12,1.25,mid,90,0.37777777777777777,1.25824330017414,0.8653846153846154,-1.0,45,0.4888888888888889,14.669120935748762,0.9183673469387755,-1.0,True
30min,6,12,1.25,far,90,0.5444444444444444,9.344495132236151,0.8653846153846154,-1.0,45,0.6,10.726839640111473,0.9183673469387755,-1.0,True
30min,6,12,1.5,mid,90,0.34444444444444444,-0.3730194920994485,0.8653846153846154,-1.0,45,0.4444444444444444,10.490983254401478,0.9183673469387755,-1.0,False
30min,6,12,1.5,far,90,0.5,8.194810663956588,0.8653846153846154,-1.0,45,0.5333333333333333,6.790824961248912,0.9183673469387755,-1.0,True
30min,6,12,2.0,mid,90,0.3333333333333333,-0.6713387008232825,0.8653846153846154,-1.0,45,0.4444444444444444,14.464632307579564,0.9183673469387755,-1.0,False
30min,6,12,2.0,far,90,0.4777777777777778,8.742715442384164,0.8653846153846154,-1.0,45,0.5111111111111111,6.70529010215286,0.9183673469387755,-1.0,True
30min,6,14,1.0,mid,100,0.42,-0.7707247685413674,0.9615384615384616,-1.0,47,0.48936170212765956,9.002742017546861,0.9591836734693877,-1.0,False
30min,6,14,1.0,far,100,0.59,7.986169803236196,0.9615384615384616,-1.0,47,0.5957446808510638,6.675711198202467,0.9591836734693877,-1.0,True
30min,6,14,1.25,mid,100,0.39,1.090019615251045,0.9615384615384616,-1.0,47,0.48936170212765956,14.727554245558249,0.9591836734693877,-1.0,True
30min,6,14,1.25,far,100,0.56,10.721219262906184,0.9615384615384616,-1.0,47,0.5957446808510638,10.773642163798549,0.9591836734693877,-1.0,True
30min,6,14,1.5,mid,100,0.36,-0.23171936749875632,0.9615384615384616,-1.0,47,0.44680851063829785,10.549416564210965,0.9591836734693877,-1.0,False
30min,6,14,1.5,far,100,0.52,8.870687918911406,0.9615384615384616,-1.0,47,0.5319148936170213,6.837627484935988,0.9591836734693877,-1.0,True
30min,6,14,2.0,mid,100,0.35,-1.2443242905082257,0.9615384615384616,-1.0,47,0.44680851063829785,14.523065617389047,0.9591836734693877,-1.0,False
30min,6,14,2.0,far,100,0.5,8.977416226750782,0.9615384615384616,-1.0,47,0.5106382978723404,6.752092625839936,0.9591836734693877,-1.0,True
30min,7,10,1.0,mid,70,0.38571428571428573,-8.032090219401674,0.6730769230769231,-1.0,30,0.5666666666666667,11.395837294928132,0.6122448979591837,-1.0,False
30min,7,10,1.0,far,70,0.5285714285714286,-1.9299631094361942,0.6730769230769231,-1.0,30,0.6666666666666666,6.308856301304896,0.6122448979591837,-1.0,False
30min,7,10,1.25,mid,70,0.37142857142857144,-3.645054826892263,0.6730769230769231,-1.0,30,0.5333333333333333,11.685651452312023,0.6122448979591837,-1.0,False
30min,7,10,1.25,far,70,0.5142857142857142,2.0533265896930004,0.6730769230769231,-1.0,30,0.6333333333333333,6.288441443257856,0.6122448979591837,-1.0,True
30min,7,10,1.5,mid,70,0.37142857142857144,-0.5061902117083168,0.6730769230769231,-1.0,30,0.5,12.289480539850857,0.6122448979591837,-1.0,False
30min,7,10,1.5,far,70,0.5,2.8052521870262357,0.6730769230769231,-1.0,30,0.5666666666666667,4.299851338664066,0.6122448979591837,-1.0,True
30min,7,10,2.0,mid,70,0.34285714285714286,-3.567711702958393,0.6730769230769231,-1.0,30,0.4666666666666667,12.280969111080793,0.6122448979591837,-1.0,False
30min,7,10,2.0,far,70,0.45714285714285713,0.35166962234608157,0.6730769230769231,-1.0,30,0.5,2.810432513420587,0.6122448979591837,-1.0,True
30min,7,12,1.0,mid,87,0.42528735632183906,0.1028243704073688,0.8365384615384616,-1.0,38,0.5526315789473685,12.423269459965487,0.7755102040816326,-1.0,True
30min,7,12,1.0,far,87,0.5517241379310345,2.079604442463223,0.8365384615384616,-1.0,38,0.6578947368421053,7.853666511624688,0.7755102040816326,-1.0,True
30min,7,12,1.25,mid,87,0.39080459770114945,1.004029092729783,0.8365384615384616,-1.0,38,0.5263157894736842,12.884020091583265,0.7755102040816326,-1.0,True
30min,7,12,1.25,far,87,0.5172413793103449,3.1605238777548372,0.8365384615384616,-1.0,38,0.631578947368421,8.165208763390304,0.7755102040816326,-1.0,True
30min,7,12,1.5,mid,87,0.3793103448275862,1.9443404702368294,0.8365384615384616,-1.0,38,0.5,13.895598256612885,0.7755102040816326,-1.0,True
30min,7,12,1.5,far,87,0.4942528735632184,2.9223946452245055,0.8365384615384616,-1.0,38,0.5789473684210527,6.649499825964369,0.7755102040816326,-1.0,True
30min,7,12,2.0,mid,87,0.3563218390804598,-0.7909778124570472,0.8365384615384616,-1.0,38,0.47368421052631576,14.14907944776903,0.7755102040816326,-1.0,False
30min,7,12,2.0,far,87,0.45977011494252873,1.777305436548648,0.8365384615384616,-1.0,38,0.5263157894736842,5.092144704919384,0.7755102040816326,-1.0,True
30min,7,14,1.0,mid,100,0.44,2.3969532826047337,0.9615384615384616,-1.0,44,0.5,9.15288265372082,0.8979591836734694,-1.0,True
30min,7,14,1.0,far,100,0.56,2.965305535972016,0.9615384615384616,-1.0,44,0.5909090909090909,5.407135701978413,0.8979591836734694,-1.0,True
30min,7,14,1.25,mid,100,0.41,1.868446401975984,0.9615384615384616,-1.0,44,0.4772727272727273,9.613633285338597,0.8979591836734694,-1.0,True
30min,7,14,1.25,far,100,0.53,3.451456438627053,0.9615384615384616,-1.0,44,0.5681818181818182,5.718677953744031,0.8979591836734694,-1.0,True
